6.335395988e-05	0.0009313035256	1.37	0.01
5.506123863e-05	0.000772933971	1.42	0.01
4.779492514e-05	0.0006409277322	1.47	0.01
4.143415437e-05	0.0005309385537	1.52	0.01
3.587214173e-05	0.0004393477647	1.57	0.01
3.101438344e-05	0.000363135322	1.62	0.01
2.677714289e-05	0.000299776225	1.67	0.01
2.308616718e-05	0.0002471566327	1.72	0.01
1.98755896e-05	0.0002035054262	1.77	0.01
1.708698352e-05	0.0001673379959	1.82	0.01
1.466854024e-05	0.0001374097929	1.87	0.01
1.257434924e-05	0.0001126777486	1.92	0.01
1.076376372e-05	9.226809137e-05	1.97	0.01
9.200838042e-06	7.544939934e-05	2.02	0.01
7.85382626e-06	6.160997471e-05	2.07	0.01
6.694733294e-06	5.02388034e-05	2.12	0.01
5.69891192e-06	4.090950711e-05	2.17	0.01
4.844700076e-06	3.326680372e-05	2.22	0.01
4.113093997e-06	2.701507824e-05	2.27	0.01
3.48745347e-06	2.190873458e-05	2.32	0.01
2.953236062e-06	1.774405342e-05	2.37	0.01
2.497757652e-06	1.435232541e-05	2.42	0.01
2.109976921e-06	1.159406544e-05	2.47	0.01
1.780301703e-06	9.354143401e-06	2.52	0.01
1.50041533e-06	7.537691947e-06	2.57	0.01
1.263121241e-06	6.066672406e-06	2.62	0.01
1.062204271e-06	4.876997858e-06	2.67	0.01
8.923071374e-07	3.916127155e-06	2.72	0.01
7.488207575e-07	3.141056518e-06	2.77	0.01
6.277871032e-07	2.516646165e-06	2.82	0.01
6.451772419e-05	0.0009538445382	1.37	0.02
5.603894174e-05	0.0007909623898	1.42	0.02
4.861539396e-05	0.0006553381065	1.47	0.02
4.21218107e-05	0.000542447517	1.52	0.02
3.644769415e-05	0.000448530339	1.57	0.02
3.149540005e-05	0.0003704533864	1.62	0.02
2.717852859e-05	0.0003056009895	1.67	0.02
2.342056372e-05	0.000251786483	1.72	0.02
2.015371268e-05	0.0002071801616	1.77	0.02
1.73179082e-05	0.000170250234	1.82	0.02
1.485994346e-05	0.0001397141326	1.87	0.02
1.273271649e-05	0.0001144981517	1.92	0.02
1.089456573e-05	9.37038361e-05	1.97	0.02
9.308681881e-06	7.657988946e-05	2.02	0.02
7.942584788e-06	6.24986253e-05	2.07	0.02
6.767656083e-06	5.093618099e-05	2.12	0.02
5.758720264e-06	4.145586638e-05	2.17	0.02
4.893668314e-06	3.36941354e-05	2.22	0.02
4.153119058e-06	2.734876077e-05	2.27	0.02
3.520114238e-06	2.216886455e-05	2.32	0.02
2.979843984e-06	1.794651582e-05	2.37	0.02
2.519399786e-06	1.450965315e-05	2.42	0.02
2.127552472e-06	1.171612847e-05	2.47	0.02
1.79455297e-06	9.448700236e-06	2.52	0.02
1.511953851e-06	7.61083018e-06	2.57	0.02
1.272449827e-06	6.123159896e-06	2.62	0.02
1.069735532e-06	4.920562127e-06	2.67	0.02
8.983790168e-07	3.949677228e-06	2.72	0.02
7.537095284e-07	3.166858691e-06	2.77	0.02
6.3171821e-07	2.536462989e-06	2.82	0.02
6.571083208e-05	0.0009770970081	1.37	0.03
5.704056883e-05	0.0008095409645	1.42	0.03
4.945535554e-05	0.0006701738804	1.47	0.03
4.282533472e-05	0.0005542852794	1.52	0.03
3.703614844e-05	0.0004579668702	1.57	0.03
3.198689288e-05	0.0003779674164	1.62	0.03
2.758840804e-05	0.000311576798	1.67	0.03
2.376183535e-05	0.0002565326014	1.72	0.03
2.043739093e-05	0.0002109442674	1.77	0.03
1.755331332e-05	0.0001732310612	1.82	0.03
1.505495346e-05	0.0001420710272	1.87	0.03
1.289398164e-05	0.0001163587558	1.92	0.03
1.102769152e-05	9.517027867e-05	1.97	0.03
9.418385461e-06	7.773377943e-05	2.02	0.03
8.032828761e-06	6.3405081e-05	2.07	0.03
6.84176304e-06	5.164708238e-05	2.12	0.03
5.819470782e-06	4.201247927e-05	2.17	0.03
4.943384765e-06	3.41292275e-05	2.22	0.03
4.193737191e-06	2.768830642e-05	2.27	0.03
